PRIM_STATE,H_MEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,27.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,21.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,19.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,9.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,15.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,25.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,23.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,19.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,26.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,15.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,29.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,36.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,21.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,23.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,35.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,21.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,33.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,13.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,25.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,27.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,16.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,25.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,26.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,29.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
